feature1,feature2,target
2.496714153011233,4.190455625809978,0
1.8617356988288154,1.0094636748693118,0
2.6476885381006925,1.433702270397228,0
3.5230298564080256,2.099651365087641,0
1.765846625276664,1.4965243458838007,0
1.7658630430508195,0.4493365689338673,0
3.5792128155073915,2.0685629748060275,0
2.767434729152909,0.9376962862738951,0
1.5305256140650478,2.4735924306351817,0
2.5425600435859645,1.0805757657661967,0
1.5365823071875377,3.5499344050175394,0
1.534270246429743,1.2167467076637628,0
2.241962271566034,1.6779384837943243,0
0.08671975534220211,2.81351721736967,0
0.27508216748696723,0.7691356835660448,0
1.4377124707590272,2.2274599346041293,0
0.9871688796655762,3.3071427542824283,0
2.314247332595274,0.39251676543877245,0
1.0919759244787892,2.184633858532304,0
0.5876962986647085,2.2598827942484236,0
3.465648768921554,2.7818228717773104,0
1.7742236995134644,0.763049289121918,0
2.0675282046879238,0.6795433869157237,0
0.5752518137865432,2.5219415656168978,0
1.4556172754748173,2.2969846732331862,0
2.1109225897098662,2.2504928503458768,0
0.8490064225776972,2.346448209496976,0
2.375698018345672,1.3199752784215093,0
1.399361310081195,2.2322536971610036,0
1.7083062502067232,2.293072473298681,0
1.398293387770603,1.285648581973632,0
3.852278184508938,3.865774511144757,0
1.986502775262066,2.4738329209117875,0
0.9422890710440996,0.8086965027973514,0
2.822544912103189,2.6565536086338297,0
0.7791563500289778,1.0253183297726784,0
2.2088635950047553,2.787084603742452,0
0.04032987612022443,3.158595579007404,0
0.6718139511015695,1.1793176816482895,0
2.1968612358691235,2.9633761292443217,0
2.7384665799954107,2.4127809269364984,0
2.1713682811899706,2.82206015999449,0
1.8843517176117595,3.896792982653947,0
1.6988963044107113,1.7546118839971294,0
0.5214780096325726,1.2462638356425104,0
1.2801557916052912,1.1104855703744767,0
1.5393612290402126,1.1841897150345617,0
3.0571222262189157,1.9228982905858958,0
2.3436182895684614,2.341151974816644,0
0.23695984463726605,2.276690799330019,0
2.324083969394795,2.8271832490360236,0
1.6149177195836835,2.013001891877907,0
1.3230779996940414,3.453534077157317,0
2.6116762888408678,1.735343166762044,0
3.030999522495951,4.720169166589619,0
2.931280119116199,2.625667347765006,0
1.1607824767773613,1.1428424435837174,0
1.6907876241487854,0.9291075019388877,0
2.331263431403564,2.482472415243185,0
2.975545127122359,1.7765372146741492,0
1.52082576215471,2.714000494092092,0
1.814341023336183,2.473237624573545,0
0.8936650259939718,1.9271710873431271,0
0.8037933759193292,1.153206281931595,0
2.812525822394198,0.48515277531413536,0
3.3562400285708227,1.553485047932979,0
1.927989878419666,2.8563987943234723,0
3.003532897892024,2.2140937441302038,0
2.361636025047634,0.754261221288012,0
1.3548802453948756,2.173180925851182,0
2.361395605508414,2.385317379728837,0
3.538036566465969,1.1161425637988671,0
1.9641739608900484,2.153725105945528,0
3.564643655814006,2.058208718446,0
-0.6197451040897444,0.8570297021693769,0
2.821902504375224,2.3577873603482833,0
2.087047068238171,2.5607845263682343,0
1.7009926495341325,3.083051243175277,0
2.0917607765355024,3.0538020520349027,0
0.0124310853991072,0.622330632042909,0
1.780328112162488,1.062174960084877,0
2.3571125715117462,2.5150352672086598,0
3.4778940447415163,2.513785950912209,0
1.4817297817263526,2.515047686306048,0
1.1915063971068123,5.852731490654721,0
1.4982429564154636,2.570890510693167,0
2.915402117702074,3.135565640180599,0
2.3287511096596845,2.9540017634932023,0
1.4702397962329612,2.651391251305798,0
2.513267433113356,1.6847307553596544,0
2.0970775493480405,2.7589692204932676,0
